Features,VIF_Value
CRIM,2.0774785133777236
ZN,2.955173238668343
INDUS,14.182318762720644
CHAS,1.1333922683421531
NOX,78.33374246078716
RM,80.7990264337434
AGE,22.64140546211766
DIS,15.311427442943343
RAD,14.766840556011848
TAX,58.3272207580465
PTRATIO,91.64986482545977
B,21.45581998900111
LSTAT,11.614556962407994
